date,region,price_index,CLS_ID,CLS_NM,CLS_FULLNM,WRTTIME_DESC,WRTTIME_IDTFR_ID,mom_pct,yoy_pct,base_rate,loan_rate,household_loan,price_yoy,loan_yoy,base_rate_lag3,loan_rate_lag3,construction_start_area_sqm,completion_proxy_sqm,completion_proxy_yoy,sale_listings,jeonse_listings,wolse_listings,total_listings,sale_share_pct,total_listings_yoy,sale_listings_yoy
2016-01-01,서울,84.2324509449903,500007,서울,서울,2016년 1월,201601,-0.1622742437893509,8.165526581035376,1.5,1.65,564643.7,8.165526581035376,8.573989293041118,1.5,1.58,6938027.0,8880765.49746021,99.14327782306198,,,,,,,
2016-02-01,서울,84.4078727152855,500007,서울,서울,2016년 2월,201602,0.2082591309253922,7.534088831165375,1.5,1.58,565824.6,7.534088831165375,8.096161282089298,1.5,1.66,8886058.0,9023456.756405735,79.1351930064359,,,,,,,
2016-03-01,서울,84.4373118865976,500007,서울,서울,2016년 3월,201603,0.0348772814253939,6.38925913391879,1.5,1.56,569313.2,6.38925913391879,7.939728065688323,1.5,1.72,12687071.0,9158162.060530435,63.5719996758215,,,,,,,
2016-04-01,서울,84.7751491369374,500007,서울,서울,2016년 4월,201604,0.4001042226374096,5.769942945255613,1.5,1.56,573976.1,5.769942945255613,7.050920872087296,1.5,1.65,14455683.0,9290667.592551934,51.538962314880735,,,,,,,
2016-05-01,서울,85.4831013314455,500007,서울,서울,2016년 5월,201605,0.8350940124735695,5.76700029612045,1.5,1.54,580526.9,5.76700029612045,7.946301945937106,1.5,1.58,13279957.0,9425888.411256928,42.33216750345434,,,,,,,
2016-06-01,서울,86.514191751721,500007,서울,서울,2016년 6월,201606,1.2061921060603886,6.320465591609747,1.25,1.44,586682.0,6.320465591609747,11.276377502325374,1.5,1.56,12792811.0,9567998.91554615,35.405682353197406,,,,,,,
2016-07-01,서울,87.9014754205626,500007,서울,서울,2016년 7월,201607,1.6035330629023736,6.638591644490144,1.25,1.32,591874.6,6.638591644490144,12.03058325787334,1.5,1.56,12917242.0,9720440.511071268,30.334508766502122,,,,,,,
2016-08-01,서울,89.1710508123512,500007,서울,서울,2016년 8월,201608,1.4443163618293564,7.2244924740764604,1.25,1.31,599211.8,7.2244924740764604,11.763074408830333,1.5,1.54,11521915.0,9885860.990481526,26.775997564060837,,,,,,,
2016-09-01,서울,90.3578247160612,500007,서울,서울,2016년 9월,201609,1.3308959498609108,7.781107455827918,1.25,1.35,603924.0,7.781107455827918,11.518174948979553,1.25,1.44,11380596.0,10066074.370847704,24.451220014457785,,,,,,,
2016-10-01,서울,91.5537625152836,500007,서울,서울,2016년 10월,201610,1.323557536915576,8.50248453748199,1.25,1.41,609446.9,8.50248453748199,10.776965908076752,1.25,1.32,11797166.0,10261816.082380475,23.119525663391816,,,,,,,
2016-11-01,서울,91.7711334913011,500007,서울,서울,2016년 11월,201611,0.2374244051206675,8.31890768838701,1.25,1.51,616512.9,8.31890768838701,10.785621638989106,1.25,1.31,15325220.0,10472561.866120145,22.572059749656038,,,,,,,
2016-12-01,서울,91.2213633668311,500007,서울,서울,2016년 12월,201612,-0.599066507685786,8.121434871615584,1.25,1.56,617420.3,8.121434871615584,9.52454358291359,1.25,1.35,11883789.0,10696081.37037218,22.613441380349443,,,,,,,
2017-01-01,서울,90.9502512975121,500007,서울,서울,2017년 1월,201701,-0.2972023869329487,7.975311506617544,1.25,1.51,615331.5,7.975311506617544,8.97695307678099,1.25,1.41,7980861.0,10928542.192959135,23.058560617151347,,,,,,,
2017-02-01,서울,90.9747119940467,500007,서울,서울,2017년 2월,201702,0.026894589278914,7.779889561856002,1.25,1.49,616574.5,7.779889561856002,8.969192926571235,1.25,1.51,9129261.0,11164547.17228642,23.728050941904577,,,,,,,
2017-03-01,서울,91.6735888095227,500007,서울,서울,2017년 3월,201703,0.7682099785286889,8.569999164165342,1.25,1.49,618472.4,8.569999164165342,8.634825259628641,1.25,1.56,11484361.0,11397553.154373888,24.452407361240212,,,,,,,
2017-04-01,서울,91.9257550987314,500007,서울,서울,2017년 4월,201704,0.2750697256247436,8.434790188624275,1.25,1.48,621098.2,8.434790188624275,8.209766922350937,1.25,1.51,10251029.0,11620101.343261026,25.072834944353552,,,,,,,
2017-05-01,서울,93.3552576464832,500007,서울,서울,2017년 5월,201705,1.5550620674439577,9.20902048758716,1.25,1.48,625663.6,9.20902048758716,7.775126355040562,1.25,1.49,10346829.0,11824746.72952102,25.449678731600933,,,,,,,
2017-06-01,서울,95.2586149181268,500007,서울,서울,2017년 6월,201706,2.0388324338959096,10.10750142762773,1.25,1.49,630477.2,10.10750142762773,7.464895803859672,1.25,1.49,12010424.0,12004853.411384962,25.4687998749602,,,,,,,
